bins_short    bins_long    bins_center    eclipse_depth    depth_err
5.0759        5.7683       5.4137	        49               13
5.7683        6.4607       6.1080	        29               13
6.4607        7.1531       6.7968	        30               14
7.1531        7.8455       7.4829	        49               15
7.8455        8.5379       8.1810	        70               16
8.5379        9.2304       8.8722	        39               18
9.2304        9.9228       9.5619	        78               20
9.9228        10.6152      10.2351	      74               25
